Epoch: 1/500 | Train Loss: 0.155997 | Valid Loss: 0.140922
Epoch: 2/500 | Train Loss: 0.141205 | Valid Loss: 0.136931
Epoch: 3/500 | Train Loss: 0.138388 | Valid Loss: 0.135369
Epoch: 4/500 | Train Loss: 0.138352 | Valid Loss: 0.135227
Epoch: 5/500 | Train Loss: 0.136095 | Valid Loss: 0.132421
Epoch: 6/500 | Train Loss: 0.136361 | Valid Loss: 0.13073
Epoch: 7/500 | Train Loss: 0.13543 | Valid Loss: 0.13275
Epoch: 8/500 | Train Loss: 0.136083 | Valid Loss: 0.131159
Epoch: 9/500 | Train Loss: 0.134574 | Valid Loss: 0.131667
Epoch: 10/500 | Train Loss: 0.134271 | Valid Loss: 0.132705
Epoch: 11/500 | Train Loss: 0.134115 | Valid Loss: 0.128467
Epoch: 12/500 | Train Loss: 0.133774 | Valid Loss: 0.129541
Epoch: 13/500 | Train Loss: 0.133483 | Valid Loss: 0.131302
Epoch: 14/500 | Train Loss: 0.132917 | Valid Loss: 0.128336
Epoch: 15/500 | Train Loss: 0.132646 | Valid Loss: 0.130269
Epoch: 16/500 | Train Loss: 0.133171 | Valid Loss: 0.13146
Epoch: 17/500 | Train Loss: 0.132724 | Valid Loss: 0.12764
Epoch: 18/500 | Train Loss: 0.131869 | Valid Loss: 0.128202
Epoch: 19/500 | Train Loss: 0.132445 | Valid Loss: 0.129521
Epoch: 20/500 | Train Loss: 0.132179 | Valid Loss: 0.128598
Epoch: 21/500 | Train Loss: 0.132104 | Valid Loss: 0.12968
Epoch: 22/500 | Train Loss: 0.131836 | Valid Loss: 0.127992
Epoch: 23/500 | Train Loss: 0.132271 | Valid Loss: 0.128187
Epoch: 24/500 | Train Loss: 0.13172 | Valid Loss: 0.128389
Epoch: 25/500 | Train Loss: 0.131742 | Valid Loss: 0.131178
Epoch: 26/500 | Train Loss: 0.131389 | Valid Loss: 0.127207
Epoch: 27/500 | Train Loss: 0.131007 | Valid Loss: 0.128905
Epoch: 28/500 | Train Loss: 0.131088 | Valid Loss: 0.126593
Epoch: 29/500 | Train Loss: 0.131317 | Valid Loss: 0.127672
Epoch: 30/500 | Train Loss: 0.131258 | Valid Loss: 0.127682
Epoch: 31/500 | Train Loss: 0.131196 | Valid Loss: 0.126307
Epoch: 32/500 | Train Loss: 0.131343 | Valid Loss: 0.12717
Epoch: 33/500 | Train Loss: 0.130297 | Valid Loss: 0.127427
Epoch: 34/500 | Train Loss: 0.130731 | Valid Loss: 0.127305
Epoch: 35/500 | Train Loss: 0.131195 | Valid Loss: 0.12871
Epoch: 36/500 | Train Loss: 0.131759 | Valid Loss: 0.127884
Epoch: 37/500 | Train Loss: 0.130985 | Valid Loss: 0.12727
Epoch: 38/500 | Train Loss: 0.130275 | Valid Loss: 0.127386
Epoch: 39/500 | Train Loss: 0.130533 | Valid Loss: 0.12734
Epoch: 40/500 | Train Loss: 0.13051 | Valid Loss: 0.128545
Epoch: 41/500 | Train Loss: 0.131096 | Valid Loss: 0.127839
Epoch: 42/500 | Train Loss: 0.130781 | Valid Loss: 0.126994
Epoch: 43/500 | Train Loss: 0.130161 | Valid Loss: 0.126497
Epoch: 44/500 | Train Loss: 0.130227 | Valid Loss: 0.128029
Epoch: 45/500 | Train Loss: 0.131501 | Valid Loss: 0.127855
Epoch: 46/500 | Train Loss: 0.130204 | Valid Loss: 0.127922
Epoch: 47/500 | Train Loss: 0.13081 | Valid Loss: 0.127726
Epoch: 48/500 | Train Loss: 0.130196 | Valid Loss: 0.126712
Epoch: 49/500 | Train Loss: 0.130047 | Valid Loss: 0.126216
Epoch: 50/500 | Train Loss: 0.130089 | Valid Loss: 0.127961
Epoch: 51/500 | Train Loss: 0.129994 | Valid Loss: 0.127069
Epoch: 52/500 | Train Loss: 0.129991 | Valid Loss: 0.126082
Epoch: 53/500 | Train Loss: 0.129686 | Valid Loss: 0.126486
Epoch: 54/500 | Train Loss: 0.13005 | Valid Loss: 0.125894
Epoch: 55/500 | Train Loss: 0.129927 | Valid Loss: 0.127177
Epoch: 56/500 | Train Loss: 0.130061 | Valid Loss: 0.126692
Epoch: 57/500 | Train Loss: 0.129561 | Valid Loss: 0.125737
Epoch: 58/500 | Train Loss: 0.129487 | Valid Loss: 0.12738
Epoch: 59/500 | Train Loss: 0.130374 | Valid Loss: 0.125809
Epoch: 60/500 | Train Loss: 0.129304 | Valid Loss: 0.125564
Epoch: 61/500 | Train Loss: 0.129453 | Valid Loss: 0.125836
Epoch: 62/500 | Train Loss: 0.129853 | Valid Loss: 0.12593
Epoch: 63/500 | Train Loss: 0.129101 | Valid Loss: 0.126221
Epoch: 64/500 | Train Loss: 0.129127 | Valid Loss: 0.126503
Epoch: 65/500 | Train Loss: 0.129383 | Valid Loss: 0.126384
Epoch: 66/500 | Train Loss: 0.129607 | Valid Loss: 0.125423
Epoch: 67/500 | Train Loss: 0.129307 | Valid Loss: 0.127183
Epoch: 68/500 | Train Loss: 0.129628 | Valid Loss: 0.12632
Epoch: 69/500 | Train Loss: 0.129684 | Valid Loss: 0.126363
Epoch: 70/500 | Train Loss: 0.129348 | Valid Loss: 0.126844
Epoch: 71/500 | Train Loss: 0.12988 | Valid Loss: 0.126417
Epoch: 72/500 | Train Loss: 0.129257 | Valid Loss: 0.12643
Epoch: 73/500 | Train Loss: 0.129594 | Valid Loss: 0.12739
Epoch: 74/500 | Train Loss: 0.129029 | Valid Loss: 0.125287
Epoch: 75/500 | Train Loss: 0.129076 | Valid Loss: 0.125742
Epoch: 76/500 | Train Loss: 0.128935 | Valid Loss: 0.126552
Epoch: 77/500 | Train Loss: 0.130141 | Valid Loss: 0.128252
Epoch: 78/500 | Train Loss: 0.128967 | Valid Loss: 0.126231
Epoch: 79/500 | Train Loss: 0.129723 | Valid Loss: 0.126842
Epoch: 80/500 | Train Loss: 0.130136 | Valid Loss: 0.127251
Epoch: 81/500 | Train Loss: 0.130312 | Valid Loss: 0.126565
Epoch: 82/500 | Train Loss: 0.129162 | Valid Loss: 0.12568
Epoch: 83/500 | Train Loss: 0.129632 | Valid Loss: 0.127501
Epoch: 84/500 | Train Loss: 0.129572 | Valid Loss: 0.12568
Epoch: 85/500 | Train Loss: 0.129314 | Valid Loss: 0.127306
Epoch: 86/500 | Train Loss: 0.129587 | Valid Loss: 0.126775
Epoch: 87/500 | Train Loss: 0.129444 | Valid Loss: 0.125831
Epoch: 88/500 | Train Loss: 0.128082 | Valid Loss: 0.124456
Epoch: 89/500 | Train Loss: 0.12751 | Valid Loss: 0.124267
Epoch: 90/500 | Train Loss: 0.12734 | Valid Loss: 0.123865
Epoch: 91/500 | Train Loss: 0.127036 | Valid Loss: 0.123835
Epoch: 92/500 | Train Loss: 0.126956 | Valid Loss: 0.123831
Epoch: 93/500 | Train Loss: 0.126853 | Valid Loss: 0.123672
Epoch: 94/500 | Train Loss: 0.126878 | Valid Loss: 0.123707
Epoch: 95/500 | Train Loss: 0.126566 | Valid Loss: 0.123523
Epoch: 96/500 | Train Loss: 0.126427 | Valid Loss: 0.12382
Epoch: 97/500 | Train Loss: 0.126463 | Valid Loss: 0.123484
Epoch: 98/500 | Train Loss: 0.126288 | Valid Loss: 0.123326
Epoch: 99/500 | Train Loss: 0.126274 | Valid Loss: 0.123151
Epoch: 100/500 | Train Loss: 0.12632 | Valid Loss: 0.123254
Epoch: 101/500 | Train Loss: 0.126171 | Valid Loss: 0.123313
Epoch: 102/500 | Train Loss: 0.126249 | Valid Loss: 0.123184
Epoch: 103/500 | Train Loss: 0.126167 | Valid Loss: 0.123166
Epoch: 104/500 | Train Loss: 0.126264 | Valid Loss: 0.123144
Epoch: 105/500 | Train Loss: 0.126183 | Valid Loss: 0.123328
Epoch: 106/500 | Train Loss: 0.126219 | Valid Loss: 0.123614
Epoch: 107/500 | Train Loss: 0.126332 | Valid Loss: 0.123802
Epoch: 108/500 | Train Loss: 0.126531 | Valid Loss: 0.123982
Epoch: 109/500 | Train Loss: 0.126369 | Valid Loss: 0.123134
Epoch: 110/500 | Train Loss: 0.126249 | Valid Loss: 0.1232
Epoch: 111/500 | Train Loss: 0.126165 | Valid Loss: 0.123087
Epoch: 112/500 | Train Loss: 0.126187 | Valid Loss: 0.12327
Epoch: 113/500 | Train Loss: 0.12604 | Valid Loss: 0.122972
Epoch: 114/500 | Train Loss: 0.125914 | Valid Loss: 0.122841
Epoch: 115/500 | Train Loss: 0.125785 | Valid Loss: 0.122894
Epoch: 116/500 | Train Loss: 0.125776 | Valid Loss: 0.122886
Epoch: 117/500 | Train Loss: 0.125747 | Valid Loss: 0.122847
Epoch: 118/500 | Train Loss: 0.125766 | Valid Loss: 0.123115
Epoch: 119/500 | Train Loss: 0.12572 | Valid Loss: 0.12291
Epoch: 120/500 | Train Loss: 0.125575 | Valid Loss: 0.122755
Epoch: 121/500 | Train Loss: 0.12576 | Valid Loss: 0.122771
Epoch: 122/500 | Train Loss: 0.125707 | Valid Loss: 0.122982
Epoch: 123/500 | Train Loss: 0.12566 | Valid Loss: 0.122712
Epoch: 124/500 | Train Loss: 0.125663 | Valid Loss: 0.122725
Epoch: 125/500 | Train Loss: 0.125649 | Valid Loss: 0.122826
Epoch: 126/500 | Train Loss: 0.125646 | Valid Loss: 0.12271
Epoch: 127/500 | Train Loss: 0.12562 | Valid Loss: 0.122769
Epoch: 128/500 | Train Loss: 0.12567 | Valid Loss: 0.122852
Epoch: 129/500 | Train Loss: 0.125486 | Valid Loss: 0.123029
Epoch: 130/500 | Train Loss: 0.125597 | Valid Loss: 0.12258
Epoch: 131/500 | Train Loss: 0.125613 | Valid Loss: 0.12267
Epoch: 132/500 | Train Loss: 0.125582 | Valid Loss: 0.122636
Epoch: 133/500 | Train Loss: 0.125542 | Valid Loss: 0.122696
Epoch: 134/500 | Train Loss: 0.125495 | Valid Loss: 0.122574
Epoch: 135/500 | Train Loss: 0.125522 | Valid Loss: 0.122667
Epoch: 136/500 | Train Loss: 0.125534 | Valid Loss: 0.122675
Epoch: 137/500 | Train Loss: 0.125535 | Valid Loss: 0.122669
Epoch: 138/500 | Train Loss: 0.125564 | Valid Loss: 0.122771
Epoch: 139/500 | Train Loss: 0.125507 | Valid Loss: 0.122815
Epoch: 140/500 | Train Loss: 0.125485 | Valid Loss: 0.122667
Epoch: 141/500 | Train Loss: 0.125402 | Valid Loss: 0.122469
Epoch: 142/500 | Train Loss: 0.125423 | Valid Loss: 0.122554
Epoch: 143/500 | Train Loss: 0.12539 | Valid Loss: 0.122767
Epoch: 144/500 | Train Loss: 0.125367 | Valid Loss: 0.122772
Epoch: 145/500 | Train Loss: 0.125418 | Valid Loss: 0.122576
Epoch: 146/500 | Train Loss: 0.125372 | Valid Loss: 0.122547
Epoch: 147/500 | Train Loss: 0.125363 | Valid Loss: 0.1227
Epoch: 148/500 | Train Loss: 0.125377 | Valid Loss: 0.122587
Epoch: 149/500 | Train Loss: 0.12542 | Valid Loss: 0.122655
Epoch: 150/500 | Train Loss: 0.125278 | Valid Loss: 0.122619
Epoch: 151/500 | Train Loss: 0.125403 | Valid Loss: 0.122892
Epoch: 152/500 | Train Loss: 0.125347 | Valid Loss: 0.122595
Epoch: 153/500 | Train Loss: 0.125347 | Valid Loss: 0.122399
Epoch: 154/500 | Train Loss: 0.125361 | Valid Loss: 0.122506
Epoch: 155/500 | Train Loss: 0.1254 | Valid Loss: 0.122736
Epoch: 156/500 | Train Loss: 0.125366 | Valid Loss: 0.122679
Epoch: 157/500 | Train Loss: 0.125402 | Valid Loss: 0.122596
Epoch: 158/500 | Train Loss: 0.125316 | Valid Loss: 0.122729
Epoch: 159/500 | Train Loss: 0.125386 | Valid Loss: 0.122736
Epoch: 160/500 | Train Loss: 0.125308 | Valid Loss: 0.122683
Epoch: 161/500 | Train Loss: 0.125299 | Valid Loss: 0.122606
Epoch: 162/500 | Train Loss: 0.125359 | Valid Loss: 0.122486
Epoch: 163/500 | Train Loss: 0.125375 | Valid Loss: 0.122608
Epoch: 164/500 | Train Loss: 0.12533 | Valid Loss: 0.122715
Epoch: 165/500 | Train Loss: 0.125322 | Valid Loss: 0.122716
Epoch: 166/500 | Train Loss: 0.125303 | Valid Loss: 0.122454
Epoch: 167/500 | Train Loss: 0.125246 | Valid Loss: 0.122467
Epoch: 168/500 | Train Loss: 0.125275 | Valid Loss: 0.122393
Epoch: 169/500 | Train Loss: 0.125354 | Valid Loss: 0.122558
Epoch: 170/500 | Train Loss: 0.12538 | Valid Loss: 0.122641
Epoch: 171/500 | Train Loss: 0.125329 | Valid Loss: 0.122571
Epoch: 172/500 | Train Loss: 0.125321 | Valid Loss: 0.122529
Epoch: 173/500 | Train Loss: 0.125267 | Valid Loss: 0.122505
Epoch: 174/500 | Train Loss: 0.125305 | Valid Loss: 0.122463
Epoch: 175/500 | Train Loss: 0.125418 | Valid Loss: 0.122637
Epoch: 176/500 | Train Loss: 0.125351 | Valid Loss: 0.12274
Epoch: 177/500 | Train Loss: 0.125335 | Valid Loss: 0.122548
Epoch: 178/500 | Train Loss: 0.125439 | Valid Loss: 0.12286
Epoch: 179/500 | Train Loss: 0.125377 | Valid Loss: 0.122719
Epoch: 180/500 | Train Loss: 0.125307 | Valid Loss: 0.12271
Epoch: 181/500 | Train Loss: 0.125306 | Valid Loss: 0.122642
Epoch: 182/500 | Train Loss: 0.125403 | Valid Loss: 0.12253
Epoch: 183/500 | Train Loss: 0.12536 | Valid Loss: 0.122515
Epoch: 184/500 | Train Loss: 0.125302 | Valid Loss: 0.122704
Epoch: 185/500 | Train Loss: 0.125245 | Valid Loss: 0.122658
Epoch: 186/500 | Train Loss: 0.125324 | Valid Loss: 0.12257
Epoch: 187/500 | Train Loss: 0.125301 | Valid Loss: 0.12265
Epoch: 188/500 | Train Loss: 0.125365 | Valid Loss: 0.122632
Epoch: 189/500 | Train Loss: 0.125373 | Valid Loss: 0.122494
Epoch: 190/500 | Train Loss: 0.125318 | Valid Loss: 0.122613
Epoch: 191/500 | Train Loss: 0.125256 | Valid Loss: 0.122732
Epoch: 192/500 | Train Loss: 0.125344 | Valid Loss: 0.122687
Epoch: 193/500 | Train Loss: 0.125294 | Valid Loss: 0.122467
Epoch: 194/500 | Train Loss: 0.125327 | Valid Loss: 0.122519
Epoch: 195/500 | Train Loss: 0.125351 | Valid Loss: 0.122714
Epoch: 196/500 | Train Loss: 0.125361 | Valid Loss: 0.122607
Epoch: 197/500 | Train Loss: 0.125486 | Valid Loss: 0.122673
Epoch: 198/500 | Train Loss: 0.125411 | Valid Loss: 0.122671
Epoch: 199/500 | Train Loss: 0.125383 | Valid Loss: 0.122657
Epoch: 200/500 | Train Loss: 0.125284 | Valid Loss: 0.122493
Epoch: 201/500 | Train Loss: 0.125401 | Valid Loss: 0.122499
Epoch: 202/500 | Train Loss: 0.125353 | Valid Loss: 0.122663
Epoch: 203/500 | Train Loss: 0.125347 | Valid Loss: 0.122738
Epoch: 204/500 | Train Loss: 0.125333 | Valid Loss: 0.12259
Epoch: 205/500 | Train Loss: 0.12523 | Valid Loss: 0.122564
Epoch: 206/500 | Train Loss: 0.125412 | Valid Loss: 0.122484
Epoch: 207/500 | Train Loss: 0.12533 | Valid Loss: 0.122689
Epoch: 208/500 | Train Loss: 0.125367 | Valid Loss: 0.1226
Epoch: 209/500 | Train Loss: 0.125319 | Valid Loss: 0.122553
Epoch: 210/500 | Train Loss: 0.125295 | Valid Loss: 0.122667
Epoch: 211/500 | Train Loss: 0.125288 | Valid Loss: 0.122731
Epoch: 212/500 | Train Loss: 0.125402 | Valid Loss: 0.122445
Epoch: 213/500 | Train Loss: 0.125251 | Valid Loss: 0.122421
Epoch: 214/500 | Train Loss: 0.125288 | Valid Loss: 0.122588
Epoch: 215/500 | Train Loss: 0.125376 | Valid Loss: 0.122578
Epoch: 216/500 | Train Loss: 0.125254 | Valid Loss: 0.122753
Epoch: 217/500 | Train Loss: 0.125253 | Valid Loss: 0.12256
Epoch: 218/500 | Train Loss: 0.125424 | Valid Loss: 0.122697
Epoch: 219/500 | Train Loss: 0.125282 | Valid Loss: 0.122692
Epoch: 220/500 | Train Loss: 0.125379 | Valid Loss: 0.122603
Epoch: 221/500 | Train Loss: 0.125305 | Valid Loss: 0.122593
Epoch: 222/500 | Train Loss: 0.125268 | Valid Loss: 0.122611
Epoch: 223/500 | Train Loss: 0.12531 | Valid Loss: 0.123229
Epoch: 224/500 | Train Loss: 0.125251 | Valid Loss: 0.122422
Epoch: 225/500 | Train Loss: 0.125389 | Valid Loss: 0.122562
Epoch: 226/500 | Train Loss: 0.125342 | Valid Loss: 0.122524
Epoch: 227/500 | Train Loss: 0.125214 | Valid Loss: 0.122505
Epoch: 228/500 | Train Loss: 0.12529 | Valid Loss: 0.122499
Epoch: 229/500 | Train Loss: 0.125334 | Valid Loss: 0.122565
Epoch: 230/500 | Train Loss: 0.125263 | Valid Loss: 0.122494
Epoch: 231/500 | Train Loss: 0.125371 | Valid Loss: 0.122629
Epoch: 232/500 | Train Loss: 0.125424 | Valid Loss: 0.122569
Epoch: 233/500 | Train Loss: 0.12532 | Valid Loss: 0.122647
Epoch: 234/500 | Train Loss: 0.125404 | Valid Loss: 0.122542
Epoch: 235/500 | Train Loss: 0.125328 | Valid Loss: 0.122651
Epoch: 236/500 | Train Loss: 0.12537 | Valid Loss: 0.122797
Epoch: 237/500 | Train Loss: 0.125312 | Valid Loss: 0.12264
Epoch: 238/500 | Train Loss: 0.125351 | Valid Loss: 0.122673
Epoch: 239/500 | Train Loss: 0.12525 | Valid Loss: 0.122621
Epoch: 240/500 | Train Loss: 0.125371 | Valid Loss: 0.122527
Epoch: 241/500 | Train Loss: 0.125406 | Valid Loss: 0.122601
Epoch: 242/500 | Train Loss: 0.125335 | Valid Loss: 0.122533
Epoch: 243/500 | Train Loss: 0.125408 | Valid Loss: 0.122638
