Epoch: 1/400 | Train Loss: 1.76238 | Valid Loss: 1.76535
Epoch: 2/400 | Train Loss: 1.76113 | Valid Loss: 1.76616
Epoch: 3/400 | Train Loss: 1.76181 | Valid Loss: 1.76909
Epoch: 4/400 | Train Loss: 1.76532 | Valid Loss: 1.77216
Epoch: 5/400 | Train Loss: 1.7663 | Valid Loss: 1.77126
Epoch: 6/400 | Train Loss: 1.76741 | Valid Loss: 1.7731
Epoch: 7/400 | Train Loss: 1.77043 | Valid Loss: 1.77551
Epoch: 8/400 | Train Loss: 1.77424 | Valid Loss: 1.7794
Epoch: 9/400 | Train Loss: 1.77467 | Valid Loss: 1.77991
Epoch: 10/400 | Train Loss: 1.77634 | Valid Loss: 1.78319
Epoch: 11/400 | Train Loss: 1.77669 | Valid Loss: 1.78279
Epoch: 12/400 | Train Loss: 1.77688 | Valid Loss: 1.78319
Epoch: 13/400 | Train Loss: 1.77805 | Valid Loss: 1.78477
Epoch: 14/400 | Train Loss: 1.77883 | Valid Loss: 1.78451
Epoch: 15/400 | Train Loss: 1.77866 | Valid Loss: 1.78441
Epoch: 16/400 | Train Loss: 1.77981 | Valid Loss: 1.78412
Epoch: 17/400 | Train Loss: 1.77829 | Valid Loss: 1.78399
Epoch: 18/400 | Train Loss: 1.77768 | Valid Loss: 1.78299
Epoch: 19/400 | Train Loss: 1.77713 | Valid Loss: 1.78257
Epoch: 20/400 | Train Loss: 1.77259 | Valid Loss: 1.77506
Epoch: 21/400 | Train Loss: 1.76944 | Valid Loss: 1.77509
Epoch: 22/400 | Train Loss: 1.76618 | Valid Loss: 1.76965
Epoch: 23/400 | Train Loss: 1.75795 | Valid Loss: 1.76256
Epoch: 24/400 | Train Loss: 1.75103 | Valid Loss: 1.75639
Epoch: 25/400 | Train Loss: 1.74848 | Valid Loss: 1.77659
Epoch: 26/400 | Train Loss: 1.74614 | Valid Loss: 1.73639
Epoch: 27/400 | Train Loss: 1.72815 | Valid Loss: 1.72997
Epoch: 28/400 | Train Loss: 1.72294 | Valid Loss: 1.72432
Epoch: 29/400 | Train Loss: 1.71377 | Valid Loss: 1.70254
Epoch: 30/400 | Train Loss: 1.69853 | Valid Loss: 1.68163
Epoch: 31/400 | Train Loss: 1.66703 | Valid Loss: 1.66219
Epoch: 32/400 | Train Loss: 1.65032 | Valid Loss: 1.65017
Epoch: 33/400 | Train Loss: 1.64324 | Valid Loss: 1.63717
Epoch: 34/400 | Train Loss: 1.63133 | Valid Loss: 1.63782
Epoch: 35/400 | Train Loss: 1.62002 | Valid Loss: 1.61189
Epoch: 36/400 | Train Loss: 1.61333 | Valid Loss: 1.6054
Epoch: 37/400 | Train Loss: 1.60542 | Valid Loss: 1.59565
Epoch: 38/400 | Train Loss: 1.58571 | Valid Loss: 1.5762
Epoch: 39/400 | Train Loss: 1.57776 | Valid Loss: 1.5686
Epoch: 40/400 | Train Loss: 1.56326 | Valid Loss: 1.55797
Epoch: 41/400 | Train Loss: 1.5558 | Valid Loss: 1.55724
Epoch: 42/400 | Train Loss: 1.55162 | Valid Loss: 1.55077
Epoch: 43/400 | Train Loss: 1.54609 | Valid Loss: 1.54433
Epoch: 44/400 | Train Loss: 1.53856 | Valid Loss: 1.52546
Epoch: 45/400 | Train Loss: 1.53986 | Valid Loss: 1.54155
Epoch: 46/400 | Train Loss: 1.53582 | Valid Loss: 1.52226
Epoch: 47/400 | Train Loss: 1.53078 | Valid Loss: 1.53089
Epoch: 48/400 | Train Loss: 1.52837 | Valid Loss: 1.52349
Epoch: 49/400 | Train Loss: 1.52347 | Valid Loss: 1.50929
Epoch: 50/400 | Train Loss: 1.5187 | Valid Loss: 1.50451
Epoch: 51/400 | Train Loss: 1.51789 | Valid Loss: 1.52154
Epoch: 52/400 | Train Loss: 1.5137 | Valid Loss: 1.5023
Epoch: 53/400 | Train Loss: 1.51132 | Valid Loss: 1.49731
Epoch: 54/400 | Train Loss: 1.50672 | Valid Loss: 1.49429
Epoch: 55/400 | Train Loss: 1.50371 | Valid Loss: 1.49928
Epoch: 56/400 | Train Loss: 1.50278 | Valid Loss: 1.48913
Epoch: 57/400 | Train Loss: 1.49807 | Valid Loss: 1.49121
Epoch: 58/400 | Train Loss: 1.49635 | Valid Loss: 1.48507
Epoch: 59/400 | Train Loss: 1.49523 | Valid Loss: 1.48485
Epoch: 60/400 | Train Loss: 1.49384 | Valid Loss: 1.47481
Epoch: 61/400 | Train Loss: 1.4882 | Valid Loss: 1.47882
Epoch: 62/400 | Train Loss: 1.49035 | Valid Loss: 1.4776
Epoch: 63/400 | Train Loss: 1.48825 | Valid Loss: 1.48645
Epoch: 64/400 | Train Loss: 1.48836 | Valid Loss: 1.47891
Epoch: 65/400 | Train Loss: 1.48477 | Valid Loss: 1.47236
Epoch: 66/400 | Train Loss: 1.48165 | Valid Loss: 1.47428
Epoch: 67/400 | Train Loss: 1.47962 | Valid Loss: 1.4747
Epoch: 68/400 | Train Loss: 1.47747 | Valid Loss: 1.46426
Epoch: 69/400 | Train Loss: 1.48421 | Valid Loss: 1.47103
Epoch: 70/400 | Train Loss: 1.47962 | Valid Loss: 1.46315
Epoch: 71/400 | Train Loss: 1.48084 | Valid Loss: 1.47298
Epoch: 72/400 | Train Loss: 1.47637 | Valid Loss: 1.45748
Epoch: 73/400 | Train Loss: 1.47206 | Valid Loss: 1.46707
Epoch: 74/400 | Train Loss: 1.46933 | Valid Loss: 1.45829
Epoch: 75/400 | Train Loss: 1.47065 | Valid Loss: 1.46222
Epoch: 76/400 | Train Loss: 1.47161 | Valid Loss: 1.46466
Epoch: 77/400 | Train Loss: 1.47117 | Valid Loss: 1.46161
Epoch: 78/400 | Train Loss: 1.46745 | Valid Loss: 1.45085
